Series Name;Series Code;Country Name;Country Code;1960 [YR1960];1961 [YR1961];1962 [YR1962];1963 [YR1963];1964 [YR1964];1965 [YR1965];1966 [YR1966];1967 [YR1967];1968 [YR1968];1969 [YR1969];1970 [YR1970];1971 [YR1971];1972 [YR1972];1973 [YR1973];1974 [YR1974];1975 [YR1975];1976 [YR1976];1977 [YR1977];1978 [YR1978];1979 [YR1979];1980 [YR1980];1981 [YR1981];1982 [YR1982];1983 [YR1983];1984 [YR1984];1985 [YR1985];1986 [YR1986];1987 [YR1987];1988 [YR1988];1989 [YR1989];1990 [YR1990];1991 [YR1991];1992 [YR1992];1993 [YR1993];1994 [YR1994];1995 [YR1995];1996 [YR1996];1997 [YR1997];1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];2022 [YR2022];2023 [YR2023];2024 [YR2024]
GDP per capita (current US$);NY.GDP.PCAP.CD;Greenland;GRL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1498,276437;1874,295302;2196,71424;2860,280576;3432,706033;4257,875611;4844,656293;5713,962534;7235,516939;8480,762531;9483,102406;8544,09791;7813,651282;7988,177947;7198,707808;7760,834264;11271,33257;14554,35137;16397,95019;16813,74145;18326,9295;18315,31656;18768,82753;16797,35782;18124,09981;21665,82952;21422,46099;19145,61489;20496,57878;20170,32276;19004,00384;19275,43397;20652,8417;27459,87533;32023,68205;32489,72773;35458,2543;39780,94414;44366,78587;44918,84138;43988,52803;47186,876;45936,95628;47535,48838;50485,22441;44536,35497;48181,74535;50765,74947;54545,13586;53309,20359;54693,07668;57116,29577;NA;NA;NA
GDP per capita (current US$);NY.GDP.PCAP.CD;Denmark;DNK;1389,021394;1530,53779;1711,218138;1807,252792;2049,397243;2284,228505;2487,136271;2700,746379;2776,135445;3151,133243;3464,455183;3845,599068;4653,955879;6116,891992;6763,865929;7988,156133;8773,339616;9769,578643;11817,62509;13757,23437;13822,15784;12000,21038;11740,21991;11796,5692;11516,68216;12212,7874;17136,62974;21295,67686;22524,57926;21882,15175;26885,69942;27002,80577;29579,49136;27581,72411;29967,83039;35321,09808;35621,98781;32779,87905;33346,48843;33426,23811;30722,02518;30768,47755;33257,16226;40519,09749;46625,0501;48925,80767;52119,1788;58631,65664;64616,66576;58412,74724;58104,54456;61809,7379;58443,77471;61377,59406;62520,45097;53094,01336;54500,92604;57521,5515;61324,7665;59404,26632;60985,48856;69727,98737;68091,31911;68453,87693;NA
GDP per capita (current US$);NY.GDP.PCAP.CD;Norway;NOR;1451,285078;1570,638044;1678,267257;1787,318534;1950,693242;2178,775081;2332,510599;2530,660578;2679,713004;2894,239982;3306,219476;3736,348737;4413,575692;5689,588807;6811,527337;8204,451512;8927,201627;10266,12067;11462,59459;13046,53722;15772,24091;15512,5067;15224,89391;14927,51748;14989,48577;15753,55277;18883,23335;22505,86226;24207,28147;24281,13041;28242,9814;28596,933;30523,98506;27963,69791;29315,80923;34875,70433;37321,9742;36629,0309;34803,46341;36393,29275;38178,23688;38601,89764;43170,55717;50250,32982;57768,6981;67047,17046;74434,49968;85502,26771;97503,54078;80347,57007;88163,20859;101221,8135;102175,9193;103553,8401;97666,69518;74809,9658;70867,361;76131,8384;82792,84271;76430,58895;68340,0181;93072,89251;108798,4512;87925,09442;NA
GDP per capita (current US$);NY.GDP.PCAP.CD;Faroe Islands;FRO;NA;NA;NA;NA;NA;1594,478841;1749,161535;1780,157076;1735,534256;1849,438538;2219,376867;2563,601862;3046,45915;4067,929807;4906,275143;5605,512621;6593,621293;8387,149239;9479,437545;10549,34015;11446,28297;10458,09653;10052,91923;10893,33171;9437,293474;10048,94833;14933,86852;18982,64753;20453,53092;18181,22837;20125,79407;19163,95934;19300,6622;16374,17833;16976,30954;20669,6792;22706,21649;21158,89247;24729,01991;24978,62108;23322,75934;24879,77296;26937,65056;31269,6032;35647,54404;36389,08164;41743,68128;48348,73937;51287,89111;47059,19473;47923,15154;51618,99078;50261,96163;55758,20837;60172,06325;52635,03755;56875,28038;59384,98621;62524,03874;63064,63431;62236,08666;68736,50561;66108,73365;71717,70422;NA
GDP per capita (current US$);NY.GDP.PCAP.CD;Iceland;ISL;1436,258854;1439,449724;1585,721438;1859,248362;2332,473658;2764,473565;3264,047427;3172,648771;2389,883505;2069,858964;2576,353444;3252,099178;4014,84273;5437,342525;7040,554044;6454,177152;7583,275298;9957,254434;11236,73574;12640,64081;14821,81509;15137,25384;13711,73627;11671,80923;11959,54001;12361,18704;16406,04795;22453,18823;24451,97332;22434,34677;25384,91502;26802,98952;27124,27454;23579,79536;24018,6314;26633,59138;27614,87703;27919,1855;31030,0536;32381,62524;32096,37226;28897,44394;32409,21615;39476,69785;47334,93065;56794,85016;57492,93425;69495,72674;56943,37045;41301,27322;43237,07295;47714,59223;45995,54788;49804,983;54576,74481;52951,68151;61987,92636;72010,14903;74452,18907;68452,23622;59023,56635;69325,90783;75314,08556;79636,95486;NA
Data from database: World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated: 04/15/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
